task,seed,step,reward
HopperStand,1,0,1.493837594985962
HopperStand,1,1118464,13.539445877075195
HopperStand,1,2228736,6.456788063049316
HopperStand,1,3339008,32.00455856323242
HopperStand,1,4449280,426.7077941894531
HopperStand,1,5559552,589.683349609375
HopperStand,1,6669824,547.2271728515625
HopperStand,1,7780096,529.9155883789062
HopperStand,1,8890368,646.5069580078125
HopperStand,1,10000640,841.2529296875
HopperStand,2,0,1.7041363716125488
HopperStand,2,1118464,13.254145622253418
HopperStand,2,2228736,55.35538101196289
HopperStand,2,3339008,32.299522399902344
HopperStand,2,4449280,67.76346588134766
HopperStand,2,5559552,26.361743927001953
HopperStand,2,6669824,19.556283950805664
HopperStand,2,7780096,87.35321044921875
HopperStand,2,8890368,44.39111328125
HopperStand,2,10000640,90.16705322265625
HopperStand,3,0,0.5587305426597595
HopperStand,3,1118464,3.744572162628174
HopperStand,3,2228736,797.63037109375
HopperStand,3,3339008,911.6671142578125
HopperStand,3,4449280,922.6337280273438
