step,mean_q,rew_err,act_norm,mean_log_std,mppi_spread,mppi_mean_ret
50176,0.0474,0.0004,1.5436,-4.2877,nan,nan
100096,0.6622,0.0002,1.7397,-4.8964,nan,nan
150016,0.7820,0.0001,1.8817,-4.6151,nan,nan
200192,1.2721,0.0000,1.8140,-5.4832,nan,nan
250112,1.7297,0.0001,1.6758,-3.8795,nan,nan
250112,nan,nan,nan,nan,0.0042,0.0864
300032,2.3090,0.0006,1.5978,-4.2683,nan,nan
350208,2.7213,0.0006,1.6706,-4.2980,nan,nan
400128,3.9216,0.0004,1.7567,-4.0649,nan,nan
450048,6.5401,0.0009,1.6913,-4.1613,nan,nan
500224,7.4456,0.0019,1.7005,-3.9855,nan,nan
500224,nan,nan,nan,nan,0.1773,11.3426
550144,8.2425,0.0024,1.6061,-3.7087,nan,nan
600064,9.1422,0.0032,1.6290,-4.0049,nan,nan
650240,9.9648,0.0018,1.6235,-3.8484,nan,nan
700160,13.1790,0.0017,1.6153,-3.6021,nan,nan
750080,13.9487,0.0020,1.6237,-3.7609,nan,nan
750080,nan,nan,nan,nan,0.1833,14.0824
800000,13.5253,0.0023,1.6108,-4.1481,nan,nan
850176,13.3062,0.0023,1.6229,-4.1172,nan,nan
900096,14.3080,0.0029,1.6057,-4.1395,nan,nan
950016,14.7946,0.0023,1.5845,-3.9974,nan,nan
1000192,15.3639,0.0019,1.5970,-4.0219,nan,nan
1000192,nan,nan,nan,nan,0.1466,19.6728
