step,seed,pi_reward,mppi_reward,mppi_minus_pi,selected,reward,margin
250112,1,148.7,133.1,-15.6,pi,148.7,25.0
500224,1,176.8,130.7,-46.1,pi,176.8,25.0
750080,1,461.5,538.8,77.4,mppi,538.8,25.0
1000192,1,573.7,574.6,0.9,pi,573.7,25.0
1250048,1,527.0,510.0,-17.0,pi,527.0,25.0
1500160,1,572.9,596.0,23.1,pi,572.9,25.0
1750016,1,568.6,570.6,2.0,pi,568.6,25.0
2000128,1,573.7,560.4,-13.3,pi,573.7,25.0
2250240,1,567.4,588.6,21.2,pi,567.4,25.0
2500096,1,580.6,592.1,11.5,pi,580.6,25.0
2750208,1,574.4,501.7,-72.7,pi,574.4,25.0
3000064,1,581.7,489.1,-92.7,pi,581.7,25.0
3250176,1,582.2,489.4,-92.8,pi,582.2,25.0
3500032,1,576.4,605.3,28.9,mppi,605.3,25.0
3750144,1,582.3,600.9,18.6,pi,582.3,25.0
4000000,1,585.6,563.0,-22.6,pi,585.6,25.0
4250112,1,582.0,603.4,21.5,pi,582.0,25.0
